COdigo Baremo;Descricao;VOZ;Tipo veIculo (Recurso);Escopo do problema (Ambito);Elemento Problema (Elemento);PrestaCAo;PrestaCAo_NIvel de TensAo;COdigo ACAo;Descricao acao;UN de Medida
594690;Instalação de conector AL/CU/AL-AL todas as seções com linha viva (Rede elétrica MT);AHO821;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0797;WB0797_MT;183;INSTALACAO DE CONECTOR AL/CU/AL-AL (TODAS AS SECOES) COM LINHA VIVA;UN
3000020071;Instalação de conector AL/CU/AL-AL todas as seções com linha viva (Rede elétrica MT);AHO821;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0797;WB0797_MT;183;INSTALACAO DE CONECTOR AL/CU/AL-AL (TODAS AS SECOES) COM LINHA VIVA;UN
3000019550;Instalação de poste de BT e estrutura (Infraestrutura);AHO111;BT;Rede BT;BT - LBT - Cabo aEreo;WB0105;WB0105_BT;193;INSTALACAO DE POSTE  DE BT E ESTRUTURA;UN
3000021556;Instalação de uma emenda em BT cabos em serviço de substituição (Rede elétrica BT);ABR221;BT;Rede BT;BT - LBT - Cabo aEreo;WB0032;WB0032_BT;209;INSTALACAO DE UMA EMENDA EM BT (CABOS) EM SERVICO DE SUBSTITUICAO;CJT
5000003096;Instalação de uma emenda em BT cabos em serviço de substituição (Rede elétrica BT);ABR221;BT;Rede BT;BT - LBT - Cabo aEreo;WB0032;WB0032_BT;209;INSTALACAO DE UMA EMENDA EM BT (CABOS) EM SERVICO DE SUBSTITUICAO;CJT
5000002814;Instalação de um terminal bimetálico BT em serviço de substituição (Rede elétrica BT);ABR229;BT;Rede BT;BT - LBT - Cabo aEreo;WB0040;WB0040_BT;206;INSTALACAO DE UM TERMINAL BIMETALICO BT EM SERVICO DE SUBSTITUICAO;UN
3000021619;Instalação de uma emenda em MT cabos em serviço de substituição (Rede elétrica MT);ABR218;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0029;WB0029_MT;211;INSTALACAO DE UMA EMENDA EM MT (CABOS) EM SERVICO DE SUBSTITUICAO;UN
5000003235;Instalação de isoladores de qualquer tipo em linha aérea ou em subestação em serviço de substituição (Rede elétrica MT/BT);ABR241;MT;Linha MT;MT - LMT - Cabo aEreo;WB0052;WB0052_MT;189;INSTALACAO DE ISOLADORES DE QUALQUER TIPO EM LINHA AEREA OU EM SUBESTACAO EM SERVICO DE SUBSTITUICAO ;CJT
3000008338;Instalação de uma emenda automática em MT cabos (Rede elétrica MT);ABR208;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0019;WB0019_MT;207;Instalacao de uma emenda automatica em MT (Cabos);UN
3000008339;Instalação de uma emenda automática em MT cabos (Rede elétrica MT);ABR208;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0019;WB0019_MT;207;Instalacao de uma emenda automatica em MT (Cabos);UN
594747;Instalação do equipamento de proteção monofásica e pára-raio MT/BT com linha viva (Proteção elétrica);AHO823;MT;SubestaCAo MT;MT - SubestaCoes MV/LV - peCa eletromecAnica;WB0800;WB0800_MT;212;INSTALACAO DO EQUIPAMENTO DE  PROTECAO MONOFASICA E PARARRAIO  MT/BT C/ LINHA VIVA;UN
595247;Instalação do equipamento de proteção monofásica e pára-raio MT/BT com linha viva (Proteção elétrica);AHO823;MT;SubestaCAo MT;MT - SubestaCoes MV/LV - peCa eletromecAnica;WB0800;WB0800_MT;212;INSTALACAO DO EQUIPAMENTO DE  PROTECAO MONOFASICA E PARARRAIO  MT/BT C/ LINHA VIVA;UN
3000008029;Instalação de estribos com linha viva (Rede elétrica MT);ABR115;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0658;WB0658_MT;187;INSTALACAO DE ESTRIBOS C/ LINHA VIVA;CJT
5000002761;Instalação de estribos com linha viva (Rede elétrica MT);ABR115;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0658;WB0658_MT;187;INSTALACAO DE ESTRIBOS C/ LINHA VIVA;CJT
3000019548;Instalação de cruzeta simples ou dupla para condutor nu em poste existente (Rede elétrica MT);AHO121;MT;Linha MT;MT - LMT - Cabo aEreo;WB0114;WB0114_MT;184;INSTALACAO DE CRUZETA SIMPLES OU DUPLA PARA CONDUTOR DESNUDO EM POSTE EXISTENTE;UN
3000020045;Instalação de cruzeta simples ou dupla para condutor nu em poste existente (Rede elétrica MT);AHO121;MT;Linha MT;MT - LMT - Cabo aEreo;WB0114;WB0114_MT;184;INSTALACAO DE CRUZETA SIMPLES OU DUPLA PARA CONDUTOR DESNUDO EM POSTE EXISTENTE;UN
3000008385;Instalação do medidor para balanço em cargas (Medição);ABR403;BT;Grupo de Medida - BT;BT - Medidor BalanCo EnergEtico;WB0080;WB0080_BT;177;INSTALACAO  DO MEDIDOR PARA BALANCO EM CARGAS;UN
3000008386;Instalação do medidor para balanço em cargas (Medição);ABR403;BT;Grupo de Medida - BT;BT - Medidor BalanCo EnergEtico;WB0080;WB0080_BT;177;INSTALACAO  DO MEDIDOR PARA BALANCO EM CARGAS;UN
5000000738;Instalação de painel/caixa de controle montada em poste (Infraestrutura);AHO219;MT;SubestaCAo MT;MT - SubestaCoes MV/LV - peCa eletromecAnica;WB0151;WB0151_MT;190;INSTALACAO DE PAINEL/CAIXA DE CONTROLE MONTADA EM POSTE;UN
5000000740;Instalação de painel/caixa de controle montada em poste (Infraestrutura);AHO219;MT;SubestaCAo MT;MT - SubestaCoes MV/LV - peCa eletromecAnica;WB0151;WB0151_MT;190;INSTALACAO DE PAINEL/CAIXA DE CONTROLE MONTADA EM POSTE;UN
3000020090;Instalação de poste de MT de 10 a 15 metros ou estrutura de encabeçamento com linha viva (Infraestrutura MT);AHO806;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0767;WB0767_MT;195;INSTALACAO DE POSTE  DE MT DE 10 A 15 METROS OU ESTRUTURA DE ENCABECAMENTO C/ LINHA VIVA;UN
3000019596;Instalação de poste (disposição passante) MT de 10 a 15 metros com linha viva (Infraestrutura MT);AHO804;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0762;WB0762_MT;196;INSTALACAO DE POSTE (DISPOSICAO PASSANTE) MT DE 10 A 15 METROS COM LINHA VIVA;UN
3000020093;Instalação de poste (disposição passante) MT de 10 a 15 metros com linha viva (Infraestrutura MT);AHO804;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0762;WB0762_MT;196;INSTALACAO DE POSTE (DISPOSICAO PASSANTE) MT DE 10 A 15 METROS COM LINHA VIVA;UN
3000019591;Instalação de poste de BT com concreto (Infraestrutura BT);AHO113;BT;Rede BT;BT - LBT - Cabo aEreo;WB0107;WB0107_BT;192;INSTALACAO DE POSTE  DE BT COM CONCRETO;UN
3000019592;Instalação de poste de MT com concreto (Infraestrutura MT);AHO112;MT;Linha MT;MT - LMT - Cabo aEreo;WB0106;WB0106_MT;194;INSTALACAO DE POSTE  DE MT COM CONCRETO;UN
3000019606;Instalação de ramal aéreo BT trifásico de seção entre 36 mm² e 120 mm² (Rede elétrica BT);CHO505;BT;Ramal BT;BT - Ramal Simples;WB1251;WB1251_BT;197;INSTALACAO DE RAMAL AEREO BT TRIFASICO DE SECAO ENTRE 36 MM2 E 120 MM2;UN
5000000371;Instalar rede com condutores acima de 120 mm² cobre ou equivalente em alumínio (Rede elétrica BT);AHO203;MT;Linha MT;MT - LMT - Cabo aEreo;WB0137;WB0137_MT;221;INSTALAR REDE COM CONDUTORES ACIMA DE 120 MM2 COBRE OU SEU EQUIVALENTE EM ALUMINIO.;m
3000019456;Instalação de um seccionador ou religador (SF6, óleo, vácuo) sem caixa de controle (Proteção elétrica);AHO217;MT;SubestaCAo MT;MT - SubestaCoes MV/LV - peCa eletromecAnica;WB0149;WB0149_MT;203;INSTALACAO DE UM SECCIONADOR OU RELIGADOR (SF6, OLEO, VAZIO) SEM CAIXA DE CONTROLE;UN
3000020125;Instalação de um seccionador ou religador (SF6, óleo, vácuo) sem caixa de controle (Proteção elétrica);AHO217;MT;SubestaCAo MT;MT - SubestaCoes MV/LV - peCa eletromecAnica;WB0149;WB0149_MT;203;INSTALACAO DE UM SECCIONADOR OU RELIGADOR (SF6, OLEO, VAZIO) SEM CAIXA DE CONTROLE;UN
3000019336;Instalação ou substituição de isoladores de qualquer tipo em linha aérea ou em subestação (Rede elétrica MT/BT);AHO239;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0169;WB0169_MT;188;INSTALACAO OU SUBSTITUICAO DE ISOLADORES DE QUALQUER TIPO EM LINHA AEREA OU EM SUBESTACAO ;UN
3000019329;Instalação, substituição ou retirada de uma emenda em BT cabos (Rede elétrica BT);AHO215;BT;Rede BT;BT - LBT - Cabo aEreo;WB0147;WB0147_BT;217;INSTALACAO  SUSTITUICAO OU RETIRADA  DE UMA EMENDA EM BT (CABOS);UN
3000019870;Instalação, substituição ou retirada de uma emenda em BT cabos (Rede elétrica BT);AHO215;BT;Rede BT;BT - LBT - Cabo aEreo;WB0147;WB0147_BT;217;INSTALACAO  SUSTITUICAO OU RETIRADA  DE UMA EMENDA EM BT (CABOS);UN
3000019638;Instalação ou retirada de cobertas de proteção em vãos de rede (Segurança);AHO822;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0799;WB0799_MT;216;INSTALACAO OU RETIRADA DE COBERTAS DE PROTECAO EM VAOS DE REDE.;UN
3000020144;Instalação ou retirada do medidor para balanço em cargas (Medição);AHO620;BT;Grupo de Medida - BT;BT - Medidor BalanCo EnergEtico;WB0195;WB0195_BT;215;INSTALACAO OU RETIRADA DO MEDIDOR PARA BALANCO EM CARGAS;UN
3000019457;Instalação de um seccionador ou religador (SF6, óleo, vácuo) sem caixa de controle com linha viva (Proteção elétrica);AHO828;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0810;WB0810_MT;204;INSTALACAO DE UM SECCIONADOR OU RELIGADOR (SF6, OLEO, VAZIO) SEM CAIXA DE CONTROLE COM LINHA VIVA;UN
3000020126;Instalação de um seccionador ou religador (SF6, óleo, vácuo) sem caixa de controle com linha viva (Proteção elétrica);AHO828;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0810;WB0810_MT;204;INSTALACAO DE UM SECCIONADOR OU RELIGADOR (SF6, OLEO, VAZIO) SEM CAIXA DE CONTROLE COM LINHA VIVA;UN
3000019331;Instalação de armação secundária (simples ou dupla) (Infraestrutura);AHO123;BT;Rede BT;BT - LBT - Cabo aEreo;WB0116;WB0116_BT;178;INSTALACAO ARMACAO SECUNDARIA (SIMPLES OU DUPLA);UN
3000019873;Instalação de pára-raios (Proteção elétrica);AHO222;MT;Linha AT;AT - LDAT - Armamento;WB0154;WB0154_MT;191;INSTALACAO DE PARA-RAIOS;UN
5000002816;Instalar bypass em caixa de derivação (Rede elétrica BT);ABR231;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0042;WB0042_BT;219;INSTALAR BY-PASS EM CAIXA DE DERIVACAO;UN
